question;answer;ground_truth;context_preicision;context_recall;faithfulness;answer_relevancy;answer_correctness
Who invented basketball?;Basketball was invented by Canadian American Dr. James Naismith in early December 1891. He was a physical education professor and instructor at the International Young Men's Christian Association Training School (YMCA) in Springfield, Massachusetts, USA. Naismith created the game to keep his gym class active during a rainy day and the long New England winters, writing the basic rules and using a peach basket as the first hoop [source:documenti\History of basketball.pdf].;Dr. James Naismith.;0.9999999999;1.0;1.0;0.9591191074382174;0.4374752973557758
When was basketball invented?;Basketball was invented in early December 1891 by Canadian American Dr. James Naismith, a physical education professor and instructor at the International Young Men's Christian Association Training School (YMCA) in Springfield, Massachusetts, USA [source:documenti\History of basketball.pdf].;December 1891.;0.9999999999;1.0;1.0;0.9514862334450805;0.4150771188460234
Where was basketball invented?;Basketball was invented in Springfield, Massachusetts, USA, by Dr. James Naismith in December 1891 [source:documenti\History of basketball.pdf].;Springfield, Massachusetts, USA.;0.9999999999;1.0;1.0;0.9412110741829568;0.7036841865882542
Why did Naismith invent basketball?;Dr. James Naismith invented basketball in early December 1891 to keep his gym class active on a rainy day. He was looking for a vigorous indoor game to keep his students occupied and maintain proper fitness levels during the long New England winters. After rejecting other ideas as either too rough or unsuitable for walled-in gymnasiums, he created the basic rules and introduced the game by nailing a peach basket onto a 10-foot height [source:documenti\History of basketball.pdf].;To keep students active indoors during winter.;0.9999999999;1.0;1.0;0.9169179386494819;0.529774299318645
What organization was Naismith working for when he invented basketball?;Dr. James Naismith was working for the International Young Men's Christian Association Training School (YMCA) (today, Springfield College) in Springfield, Massachusetts, USA, when he invented basketball in early December 1891. [source:documenti\History of basketball.pdf];The YMCA Training School (now Springfield College).;0.9999999999;1.0;1.0;0.9447614933562841;0.7084083336053438
What objects were first used as baskets?;The first objects used as baskets in basketball were peach baskets [source:documenti\History of basketball.pdf].;Peach baskets.;0.0;1.0;0.5;0.9662383069449688;0.7232290893285201
How many original rules did Naismith write?;I don't know.;Thirteen.;0.0;0.0;0.0;0.0;0.1980174130660127
What was initially used as the ball in early basketball?;Basketball was originally played with a soccer ball [source:documenti\History of basketball.pdf].;A soccer ball.;0.9999999999;1.0;1.0;0.9635263817006101;0.7159478979738381
How did players originally score in early basketball?;In early basketball, players originally scored by making a shot into a basket. The first official game ended with a score of 1â€“0, and the only shot was made from 25 feet (7.6 m) away [source:documenti\History of basketball.pdf].;By throwing the ball into peach baskets nailed to a balcony.;0.0;0.0;0.6666666666666666;0.8912916030821968;0.44735950225313104
What problem did the original baskets have?;The original baskets used in basketball were peach baskets, which were nailed to the mezzanine balcony of the playing court. This setup proved impractical because spectators on the balcony began to interfere with shots. To address this problem, backboards were introduced to prevent interference and also allowed for rebound shots [source:documenti\History of basketball.pdf].;They still had bottoms, so the ball had to be retrieved manually.;0.0;0.0;1.0;0.8378205648788353;0.1989380686312956
